Date,Close,High,Low,Open,Volume
18-06-2018,513.6312866,531.4953014,508.7536825,528.511107,31274256
25-06-2018,538.0604858,541.2710873,516.1626946,517.4592856,40130242
02-07-2018,528.6138916,558.9291932,521.9663329,540.859376,46218576
09-07-2018,542.2589722,552.4257931,526.4736238,533.862057,57287716
16-07-2018,554.8954468,569.837018,530.0340128,542.2589484,70249988
23-07-2018,565.3297729,573.7061365,550.0177917,556.5624475,34640320
30-07-2018,561.4813232,565.1446893,549.7298014,563.9098502,28940804
06-08-2018,570.2692261,571.9156781,554.6485324,562.2839739,28711860
13-08-2018,588.7505493,591.7553438,567.4907313,572.1419775,29148248
20-08-2018,567.3261719,579.5304561,565.3504095,571.3187976,39233540
27-08-2018,593.175415,598.6087362,568.6021419,569.2607126,41540162
03-09-2018,603.2599487,616.1846058,588.6065373,596.4271836,47114694
10-09-2018,604.0009155,614.9498111,600.1728946,607.3349707,25126563
17-09-2018,580.6211548,609.1871005,569.6722615,605.0709714,32357053
24-09-2018,600.9960938,605.8942982,581.6091327,581.6091327,46922407
01-10-2018,596.5095215,621.4533087,578.3162475,607.1291567,30761477
